offset,acc,n,subject
1.75,0.7857142857142857,14,44
2.0,0.6428571428571429,14,44
2.25,0.6428571428571429,14,44
2.5,0.5,14,44
2.75,0.5,14,44
3.0,0.5714285714285714,14,44
3.25,0.5714285714285714,14,44
3.5,0.6428571428571429,14,44
3.75,0.7142857142857143,14,44
4.0,0.7142857142857143,14,44
0.5,0.5,14,45
0.75,0.5,14,45
1.0,0.5,14,45
1.25,0.42857142857142855,14,45
1.5,0.5,14,45
1.75,0.5,14,45
2.0,0.5,14,45
2.25,0.5,14,45
2.5,0.5,14,45
2.75,0.5,14,45
3.0,0.5714285714285714,14,45
3.25,0.7142857142857143,14,45
3.5,0.6428571428571429,14,45
3.75,0.6428571428571429,14,45
4.0,0.6428571428571429,14,45
0.5,0.6428571428571429,14,46
0.75,0.6428571428571429,14,46
1.0,0.6428571428571429,14,46
1.25,0.5714285714285714,14,46
1.5,0.5,14,46
1.75,0.5,14,46
2.0,0.42857142857142855,14,46
2.25,0.5,14,46
2.5,0.42857142857142855,14,46
2.75,0.5714285714285714,14,46
3.0,0.5714285714285714,14,46
3.25,0.5714285714285714,14,46
3.5,0.6428571428571429,14,46
3.75,0.5714285714285714,14,46
4.0,0.5714285714285714,14,46
0.5,0.5,14,47
0.75,0.5714285714285714,14,47
1.0,0.5714285714285714,14,47
1.25,0.5,14,47
1.5,0.5714285714285714,14,47
1.75,0.5714285714285714,14,47
2.0,0.5,14,47
2.25,0.5,14,47
2.5,0.5714285714285714,14,47
2.75,0.5714285714285714,14,47
3.0,0.5,14,47
3.25,0.5,14,47
3.5,0.5,14,47
3.75,0.42857142857142855,14,47
4.0,0.42857142857142855,14,47
0.5,0.5,14,48
0.75,0.6428571428571429,14,48
1.0,0.6428571428571429,14,48
1.25,0.5714285714285714,14,48
1.5,0.6428571428571429,14,48
1.75,0.6428571428571429,14,48
2.0,0.5714285714285714,14,48
2.25,0.7857142857142857,14,48
2.5,0.7857142857142857,14,48
2.75,0.7142857142857143,14,48
3.0,0.7142857142857143,14,48
3.25,0.7142857142857143,14,48
3.5,0.6428571428571429,14,48
3.75,0.6428571428571429,14,48
4.0,0.7142857142857143,14,48
0.5,0.42857142857142855,14,49
0.75,0.42857142857142855,14,49
1.0,0.42857142857142855,14,49
1.25,0.5,14,49
1.5,0.42857142857142855,14,49
1.75,0.5714285714285714,14,49
2.0,0.5714285714285714,14,49
2.25,0.6428571428571429,14,49
2.5,0.6428571428571429,14,49
2.75,0.6428571428571429,14,49
3.0,0.6428571428571429,14,49
3.25,0.6428571428571429,14,49
3.5,0.6428571428571429,14,49
3.75,0.7142857142857143,14,49
4.0,0.7142857142857143,14,49
0.5,0.5714285714285714,14,50
0.75,0.42857142857142855,14,50
1.0,0.42857142857142855,14,50
1.25,0.5714285714285714,14,50
1.5,0.6428571428571429,14,50
1.75,0.7142857142857143,14,50
2.0,0.5714285714285714,14,50
2.25,0.5,14,50
2.5,0.5,14,50
2.75,0.5,14,50
3.0,0.42857142857142855,14,50
3.25,0.42857142857142855,14,50
3.5,0.42857142857142855,14,50
